Date,Open,High,Low,Close,Volume,Change,news,Open_USD/KRW,High_USD/KRW,Low_USD/KRW,Close_USD/KRW,Adj Close_USD/KRW,Volume_USD/KRW,Open_ks11,High_ks11,Low_ks11,Close_ks11,Adj Close_ks11,Volume_ks11
2021-07-27,79200.0,79400.0,78500.0,78500.0,11427693.0,-0.0038071065989847552,0.51,1151.560059,1156.709961,1148.300049,1151.76001,1151.76001,0.0,3244.429932,3252.850098,3230.75,3232.530029,3232.530029,991600.0
2021-07-28,78300.0,79200.0,78100.0,79200.0,12743417.0,0.008917197452229297,0.37,1153.48999,1157.22998,1151.300049,1153.560059,1153.560059,0.0,3226.060059,3243.209961,3210.899902,3236.860107,3236.860107,868200.0
2021-07-29,78800.0,79400.0,78800.0,79000.0,14360453.0,-0.002525252525252486,0.84,1149.530029,1151.48999,1140.790039,1149.410034,1149.410034,0.0,3248.48999,3252.26001,3232.5,3242.649902,3242.649902,694500.0
2021-07-30,78900.0,78900.0,78500.0,78500.0,13823411.0,-0.006329113924050667,0.43,1143.23999,1152.410034,1142.76001,1142.119995,1142.119995,0.0,3234.370117,3234.659912,3202.320068,3202.320068,3202.320068,687500.0
2021-08-02,79200.0,79500.0,78700.0,79300.0,11739124.0,0.010191082802547768,0.62,1150.719971,1154.089966,1148.26001,1150.930054,1150.930054,0.0,3218.419922,3223.040039,3194.0,3223.040039,3223.040039,560800.0
2021-08-03,79400.0,81400.0,79300.0,81400.0,24339360.0,0.02648171500630525,0.49,1149.699951,1153.51001,1145.459961,1149.560059,1149.560059,0.0,3221.570068,3237.139893,3213.199951,3237.139893,3237.139893,653200.0
2021-08-04,82200.0,83100.0,81800.0,82900.0,25642368.0,0.01842751842751844,0.65,1147.550049,1148.849976,1139.900024,1148.579956,1148.579956,0.0,3246.649902,3283.139893,3237.550049,3280.379883,3280.379883,632000.0
2021-08-05,83300.0,83300.0,82000.0,82100.0,18485469.0,-0.00965018094089265,0.37,1144.030029,1146.400024,1139.51001,1144.060059,1144.060059,0.0,3283.25,3296.169922,3273.330078,3276.129883,3276.129883,680000.0
2021-08-06,81900.0,82500.0,81300.0,81500.0,13342623.0,-0.0073081607795371095,0.44,1142.099976,1147.099976,1139.72998,1143.119995,1143.119995,0.0,3277.060059,3288.169922,3261.929932,3270.360107,3270.360107,939900.0
2021-08-09,81500.0,82300.0,80900.0,81500.0,15522581.0,0.0,0.47,1144.910034,1147.369995,1141.969971,1144.920044,1144.920044,0.0,3258.100098,3275.149902,3251.73999,3260.419922,3260.419922,706500.0
2021-08-10,82300.0,82400.0,80100.0,80200.0,20362639.0,-0.015950920245398792,0.46,1145.900024,1153.089966,1145.27002,1145.890015,1145.890015,0.0,3272.439941,3272.439941,3232.459961,3243.189941,3243.189941,729000.0
2021-08-11,79600.0,79800.0,78500.0,78500.0,30241137.0,-0.021197007481296715,0.33,1152.540039,1158.579956,1151.199951,1152.47998,1152.47998,0.0,3235.360107,3250.209961,3217.649902,3220.620117,3220.620117,616700.0
2021-08-12,77100.0,78200.0,76900.0,77000.0,42365223.0,-0.019108280254777066,0.57,1152.910034,1164.170044,1152.839966,1152.849976,1152.849976,0.0,3213.580078,3229.590088,3202.110107,3208.379883,3208.379883,642600.0
2021-08-13,75800.0,76000.0,74100.0,74400.0,61270643.0,-0.03376623376623378,0.43,1162.130005,1170.449951,1160.780029,1162.060059,1162.060059,0.0,3205.75,3209.719971,3146.76001,3171.290039,3171.290039,695600.0
